origin,destination,dayhour,value
Metro_AlAziziyah,Metro_AlBiddaConcourse,0,21
Metro_AlAziziyah,Metro_AlBiddaConcourse,1,23
Metro_AlAziziyah,Metro_AlBiddaConcourse,2,1
Metro_AlAziziyah,Metro_AlBiddaConcourse,6,1
Metro_AlAziziyah,Metro_AlBiddaConcourse,7,14
Metro_AlAziziyah,Metro_AlBiddaConcourse,8,33
Metro_AlAziziyah,Metro_AlBiddaConcourse,9,66
Metro_AlAziziyah,Metro_AlBiddaConcourse,10,123
Metro_AlAziziyah,Metro_AlBiddaConcourse,11,208
Metro_AlAziziyah,Metro_AlBiddaConcourse,12,212
Metro_AlAziziyah,Metro_AlBiddaConcourse,13,245
Metro_AlAziziyah,Metro_AlBiddaConcourse,14,201
Metro_AlAziziyah,Metro_AlBiddaConcourse,15,133
Metro_AlAziziyah,Metro_AlBiddaConcourse,16,84
Metro_AlAziziyah,Metro_AlBiddaConcourse,17,65
Metro_AlAziziyah,Metro_AlBiddaConcourse,18,40
Metro_AlAziziyah,Metro_AlBiddaConcourse,19,23
Metro_AlAziziyah,Metro_AlBiddaConcourse,20,64
Metro_AlAziziyah,Metro_AlBiddaConcourse,21,56
Metro_AlAziziyah,Metro_AlBiddaGreenPlatformNorthBound,21,9
Metro_AlAziziyah,Metro_AlBiddaRedAndGreenPlatformNorthBound,21,2
Metro_AlAziziyah,Metro_AlBiddaRedPlatformNorthBound,21,108
Metro_AlAziziyah,Metro_AlDohaAlJadeda,0,47
Metro_AlAziziyah,Metro_AlDohaAlJadeda,1,42
Metro_AlAziziyah,Metro_AlDohaAlJadeda,2,21
Metro_AlAziziyah,Metro_AlDohaAlJadeda,3,6
Metro_AlAziziyah,Metro_AlDohaAlJadeda,6,9
Metro_AlAziziyah,Metro_AlDohaAlJadeda,7,15
Metro_AlAziziyah,Metro_AlDohaAlJadeda,8,15
Metro_AlAziziyah,Metro_AlDohaAlJadeda,9,82
Metro_AlAziziyah,Metro_AlDohaAlJadeda,10,155
Metro_AlAziziyah,Metro_AlDohaAlJadeda,11,194
Metro_AlAziziyah,Metro_AlDohaAlJadeda,12,203
Metro_AlAziziyah,Metro_AlDohaAlJadeda,13,150
Metro_AlAziziyah,Metro_AlDohaAlJadeda,14,112
Metro_AlAziziyah,Metro_AlDohaAlJadeda,15,68
Metro_AlAziziyah,Metro_AlDohaAlJadeda,16,47
Metro_AlAziziyah,Metro_AlDohaAlJadeda,17,18
Metro_AlAziziyah,Metro_AlDohaAlJadeda,18,28
Metro_AlAziziyah,Metro_AlDohaAlJadeda,19,14
Metro_AlAziziyah,Metro_AlDohaAlJadeda,20,27
Metro_AlAziziyah,Metro_AlDohaAlJadeda,21,184
Metro_AlAziziyah,Metro_AlMansoura,0,59
Metro_AlAziziyah,Metro_AlMansoura,1,102
Metro_AlAziziyah,Metro_AlMansoura,2,65
Metro_AlAziziyah,Metro_AlMansoura,3,37
Metro_AlAziziyah,Metro_AlMansoura,6,9
Metro_AlAziziyah,Metro_AlMansoura,7,14
Metro_AlAziziyah,Metro_AlMansoura,8,33
Metro_AlAziziyah,Metro_AlMansoura,9,90
Metro_AlAziziyah,Metro_AlMansoura,10,161
Metro_AlAziziyah,Metro_AlMansoura,11,216
Metro_AlAziziyah,Metro_AlMansoura,12,302
Metro_AlAziziyah,Metro_AlMansoura,13,223
Metro_AlAziziyah,Metro_AlMansoura,14,193
Metro_AlAziziyah,Metro_AlMansoura,15,115
Metro_AlAziziyah,Metro_AlMansoura,16,91
Metro_AlAziziyah,Metro_AlMansoura,17,86
Metro_AlAziziyah,Metro_AlMansoura,18,139
Metro_AlAziziyah,Metro_AlMansoura,19,163
Metro_AlAziziyah,Metro_AlMansoura,20,66
Metro_AlAziziyah,Metro_AlMansoura,21,93
Metro_AlAziziyah,Metro_AlMatarAlQadeem,0,35
Metro_AlAziziyah,Metro_AlMatarAlQadeem,1,28
Metro_AlAziziyah,Metro_AlMatarAlQadeem,2,26
Metro_AlAziziyah,Metro_AlMatarAlQadeem,3,18
Metro_AlAziziyah,Metro_AlMatarAlQadeem,4,1
Metro_AlAziziyah,Metro_AlMatarAlQadeem,6,1
Metro_AlAziziyah,Metro_AlMatarAlQadeem,7,1
Metro_AlAziziyah,Metro_AlMatarAlQadeem,8,7
Metro_AlAziziyah,Metro_AlMatarAlQadeem,9,43
Metro_AlAziziyah,Metro_AlMatarAlQadeem,10,125
Metro_AlAziziyah,Metro_AlMatarAlQadeem,11,174
Metro_AlAziziyah,Metro_AlMatarAlQadeem,12,157
Metro_AlAziziyah,Metro_AlMatarAlQadeem,13,217
Metro_AlAziziyah,Metro_AlMatarAlQadeem,14,175
Metro_AlAziziyah,Metro_AlMatarAlQadeem,15,139
Metro_AlAziziyah,Metro_AlMatarAlQadeem,16,200
Metro_AlAziziyah,Metro_AlMatarAlQadeem,17,121
Metro_AlAziziyah,Metro_AlMatarAlQadeem,18,77
Metro_AlAziziyah,Metro_AlMatarAlQadeem,19,48
Metro_AlAziziyah,Metro_AlMatarAlQadeem,20,47
Metro_AlAziziyah,Metro_AlMatarAlQadeem,21,93
Metro_AlAziziyah,Metro_AlMessila,0,6
Metro_AlAziziyah,Metro_AlMessila,1,11
Metro_AlAziziyah,Metro_AlMessila,2,2
Metro_AlAziziyah,Metro_AlMessila,3,1
Metro_AlAziziyah,Metro_AlMessila,7,3
Metro_AlAziziyah,Metro_AlMessila,9,1
Metro_AlAziziyah,Metro_AlMessila,10,9
Metro_AlAziziyah,Metro_AlMessila,11,7
Metro_AlAziziyah,Metro_AlMessila,12,7
Metro_AlAziziyah,Metro_AlMessila,13,16
Metro_AlAziziyah,Metro_AlMessila,14,13
Metro_AlAziziyah,Metro_AlMessila,15,7
Metro_AlAziziyah,Metro_AlMessila,16,2
Metro_AlAziziyah,Metro_AlMessila,17,6
Metro_AlAziziyah,Metro_AlMessila,21,37
Metro_AlAziziyah,Metro_AlMessila,23,2
Metro_AlAziziyah,Metro_AlQassar,0,188
Metro_AlAziziyah,Metro_AlQassar,1,221
Metro_AlAziziyah,Metro_AlQassar,2,94
Metro_AlAziziyah,Metro_AlQassar,3,21
Metro_AlAziziyah,Metro_AlQassar,6,14
Metro_AlAziziyah,Metro_AlQassar,7,16
Metro_AlAziziyah,Metro_AlQassar,8,47
Metro_AlAziziyah,Metro_AlQassar,9,93
Metro_AlAziziyah,Metro_AlQassar,10,152
Metro_AlAziziyah,Metro_AlQassar,11,287
Metro_AlAziziyah,Metro_AlQassar,12,380
Metro_AlAziziyah,Metro_AlQassar,13,599
Metro_AlAziziyah,Metro_AlQassar,14,493
Metro_AlAziziyah,Metro_AlQassar,15,501
Metro_AlAziziyah,Metro_AlQassar,16,370
Metro_AlAziziyah,Metro_AlQassar,17,285
Metro_AlAziziyah,Metro_AlQassar,18,209
Metro_AlAziziyah,Metro_AlQassar,19,100
Metro_AlAziziyah,Metro_AlQassar,20,233
Metro_AlAziziyah,Metro_AlQassar,21,399
Metro_AlAziziyah,Metro_AlRayyanAlQadeem,0,19
Metro_AlAziziyah,Metro_AlRayyanAlQadeem,1,11
Metro_AlAziziyah,Metro_AlRayyanAlQadeem,2,18
Metro_AlAziziyah,Metro_AlRayyanAlQadeem,6,2
Metro_AlAziziyah,Metro_AlRayyanAlQadeem,7,2
Metro_AlAziziyah,Metro_AlRayyanAlQadeem,8,2
Metro_AlAziziyah,Metro_AlRayyanAlQadeem,9,4
Metro_AlAziziyah,Metro_AlRayyanAlQadeem,10,15
Metro_AlAziziyah,Metro_AlRayyanAlQadeem,11,11
Metro_AlAziziyah,Metro_AlRayyanAlQadeem,12,11
Metro_AlAziziyah,Metro_AlRayyanAlQadeem,13,13
Metro_AlAziziyah,Metro_AlRayyanAlQadeem,14,11
Metro_AlAziziyah,Metro_AlRayyanAlQadeem,15,14
Metro_AlAziziyah,Metro_AlRayyanAlQadeem,16,5
Metro_AlAziziyah,Metro_AlRayyanAlQadeem,17,1
Metro_AlAziziyah,Metro_AlRayyanAlQadeem,20,20
Metro_AlAziziyah,Metro_AlRayyanAlQadeem,21,11
Metro_AlAziziyah,Metro_AlRiffa,0,15
Metro_AlAziziyah,Metro_AlRiffa,1,12
Metro_AlAziziyah,Metro_AlRiffa,2,5
Metro_AlAziziyah,Metro_AlRiffa,7,1
Metro_AlAziziyah,Metro_AlRiffa,8,3
Metro_AlAziziyah,Metro_AlRiffa,9,1
Metro_AlAziziyah,Metro_AlRiffa,10,6
Metro_AlAziziyah,Metro_AlRiffa,11,27
Metro_AlAziziyah,Metro_AlRiffa,12,28
Metro_AlAziziyah,Metro_AlRiffa,13,30
Metro_AlAziziyah,Metro_AlRiffa,14,26
Metro_AlAziziyah,Metro_AlRiffa,15,20
Metro_AlAziziyah,Metro_AlRiffa,16,9
Metro_AlAziziyah,Metro_AlRiffa,17,2
Metro_AlAziziyah,Metro_AlRiffa,18,7
Metro_AlAziziyah,Metro_AlRiffa,19,255
