origin,destination,dayhour,halfhour,quarterhour,value
Metro_AlAziziyah,Metro_AlBiddaConcourse,0,0,0,12
Metro_AlAziziyah,Metro_AlBiddaConcourse,0,0,1,6
Metro_AlAziziyah,Metro_AlBiddaConcourse,0,1,2,1
Metro_AlAziziyah,Metro_AlBiddaConcourse,0,1,3,2
Metro_AlAziziyah,Metro_AlBiddaConcourse,1,2,4,9
Metro_AlAziziyah,Metro_AlBiddaConcourse,1,2,5,10
Metro_AlAziziyah,Metro_AlBiddaConcourse,1,3,6,2
Metro_AlAziziyah,Metro_AlBiddaConcourse,1,3,7,2
Metro_AlAziziyah,Metro_AlBiddaConcourse,2,4,9,1
Metro_AlAziziyah,Metro_AlBiddaConcourse,6,13,27,1
Metro_AlAziziyah,Metro_AlBiddaConcourse,7,14,28,1
Metro_AlAziziyah,Metro_AlBiddaConcourse,7,14,29,4
Metro_AlAziziyah,Metro_AlBiddaConcourse,7,15,31,9
Metro_AlAziziyah,Metro_AlBiddaConcourse,8,16,32,2
Metro_AlAziziyah,Metro_AlBiddaConcourse,8,16,33,6
Metro_AlAziziyah,Metro_AlBiddaConcourse,8,17,34,18
Metro_AlAziziyah,Metro_AlBiddaConcourse,8,17,35,7
Metro_AlAziziyah,Metro_AlBiddaConcourse,9,18,36,14
Metro_AlAziziyah,Metro_AlBiddaConcourse,9,18,37,10
Metro_AlAziziyah,Metro_AlBiddaConcourse,9,19,38,20
Metro_AlAziziyah,Metro_AlBiddaConcourse,9,19,39,22
Metro_AlAziziyah,Metro_AlBiddaConcourse,10,20,40,28
Metro_AlAziziyah,Metro_AlBiddaConcourse,10,20,41,29
Metro_AlAziziyah,Metro_AlBiddaConcourse,10,21,42,33
Metro_AlAziziyah,Metro_AlBiddaConcourse,10,21,43,33
Metro_AlAziziyah,Metro_AlBiddaConcourse,11,22,44,43
Metro_AlAziziyah,Metro_AlBiddaConcourse,11,22,45,54
Metro_AlAziziyah,Metro_AlBiddaConcourse,11,23,46,47
Metro_AlAziziyah,Metro_AlBiddaConcourse,11,23,47,64
Metro_AlAziziyah,Metro_AlBiddaConcourse,12,24,48,28
Metro_AlAziziyah,Metro_AlBiddaConcourse,12,24,49,71
Metro_AlAziziyah,Metro_AlBiddaConcourse,12,25,50,53
Metro_AlAziziyah,Metro_AlBiddaConcourse,12,25,51,60
Metro_AlAziziyah,Metro_AlBiddaConcourse,13,26,52,42
Metro_AlAziziyah,Metro_AlBiddaConcourse,13,26,53,57
Metro_AlAziziyah,Metro_AlBiddaConcourse,13,27,54,66
Metro_AlAziziyah,Metro_AlBiddaConcourse,13,27,55,80
Metro_AlAziziyah,Metro_AlBiddaConcourse,14,28,56,57
Metro_AlAziziyah,Metro_AlBiddaConcourse,14,28,57,48
Metro_AlAziziyah,Metro_AlBiddaConcourse,14,29,58,58
Metro_AlAziziyah,Metro_AlBiddaConcourse,14,29,59,38
Metro_AlAziziyah,Metro_AlBiddaConcourse,15,30,60,47
Metro_AlAziziyah,Metro_AlBiddaConcourse,15,30,61,26
Metro_AlAziziyah,Metro_AlBiddaConcourse,15,31,62,33
Metro_AlAziziyah,Metro_AlBiddaConcourse,15,31,63,27
Metro_AlAziziyah,Metro_AlBiddaConcourse,16,32,64,19
Metro_AlAziziyah,Metro_AlBiddaConcourse,16,32,65,21
Metro_AlAziziyah,Metro_AlBiddaConcourse,16,33,66,14
Metro_AlAziziyah,Metro_AlBiddaConcourse,16,33,67,30
Metro_AlAziziyah,Metro_AlBiddaConcourse,17,34,68,19
Metro_AlAziziyah,Metro_AlBiddaConcourse,17,34,69,18
Metro_AlAziziyah,Metro_AlBiddaConcourse,17,35,70,14
Metro_AlAziziyah,Metro_AlBiddaConcourse,17,35,71,14
Metro_AlAziziyah,Metro_AlBiddaConcourse,18,36,72,16
Metro_AlAziziyah,Metro_AlBiddaConcourse,18,36,73,8
Metro_AlAziziyah,Metro_AlBiddaConcourse,18,37,74,2
Metro_AlAziziyah,Metro_AlBiddaConcourse,18,37,75,14
Metro_AlAziziyah,Metro_AlBiddaConcourse,19,38,76,9
Metro_AlAziziyah,Metro_AlBiddaConcourse,19,38,77,6
Metro_AlAziziyah,Metro_AlBiddaConcourse,19,39,78,5
Metro_AlAziziyah,Metro_AlBiddaConcourse,19,39,79,3
Metro_AlAziziyah,Metro_AlBiddaConcourse,20,40,80,6
Metro_AlAziziyah,Metro_AlBiddaConcourse,20,40,81,12
Metro_AlAziziyah,Metro_AlBiddaConcourse,20,41,82,15
Metro_AlAziziyah,Metro_AlBiddaConcourse,20,41,83,31
Metro_AlAziziyah,Metro_AlBiddaConcourse,21,42,84,35
Metro_AlAziziyah,Metro_AlBiddaConcourse,21,42,85,21
Metro_AlAziziyah,Metro_AlBiddaGreenPlatformNorthBound,21,42,85,9
Metro_AlAziziyah,Metro_AlBiddaRedAndGreenPlatformNorthBound,21,42,85,2
Metro_AlAziziyah,Metro_AlBiddaRedPlatformNorthBound,21,42,85,108
Metro_AlAziziyah,Metro_AlDohaAlJadeda,0,0,0,6
Metro_AlAziziyah,Metro_AlDohaAlJadeda,0,0,1,13
Metro_AlAziziyah,Metro_AlDohaAlJadeda,0,1,2,14
Metro_AlAziziyah,Metro_AlDohaAlJadeda,0,1,3,14
Metro_AlAziziyah,Metro_AlDohaAlJadeda,1,2,4,10
Metro_AlAziziyah,Metro_AlDohaAlJadeda,1,2,5,9
Metro_AlAziziyah,Metro_AlDohaAlJadeda,1,3,6,9
Metro_AlAziziyah,Metro_AlDohaAlJadeda,1,3,7,14
Metro_AlAziziyah,Metro_AlDohaAlJadeda,2,4,8,8
Metro_AlAziziyah,Metro_AlDohaAlJadeda,2,4,9,4
Metro_AlAziziyah,Metro_AlDohaAlJadeda,2,5,10,8
Metro_AlAziziyah,Metro_AlDohaAlJadeda,2,5,11,1
Metro_AlAziziyah,Metro_AlDohaAlJadeda,3,6,12,4
Metro_AlAziziyah,Metro_AlDohaAlJadeda,3,6,13,1
Metro_AlAziziyah,Metro_AlDohaAlJadeda,3,7,14,1
Metro_AlAziziyah,Metro_AlDohaAlJadeda,6,12,25,3
Metro_AlAziziyah,Metro_AlDohaAlJadeda,6,13,26,6
Metro_AlAziziyah,Metro_AlDohaAlJadeda,7,14,28,5
Metro_AlAziziyah,Metro_AlDohaAlJadeda,7,14,29,5
