origin,destination,dayhour,value
Metro_AlAziziyah,Metro_AlBiddaConcourse,0,27
Metro_AlAziziyah,Metro_AlBiddaConcourse,1,40
Metro_AlAziziyah,Metro_AlBiddaConcourse,2,19
Metro_AlAziziyah,Metro_AlBiddaConcourse,7,18
Metro_AlAziziyah,Metro_AlBiddaConcourse,8,27
Metro_AlAziziyah,Metro_AlBiddaConcourse,9,74
Metro_AlAziziyah,Metro_AlBiddaConcourse,10,142
Metro_AlAziziyah,Metro_AlBiddaConcourse,11,172
Metro_AlAziziyah,Metro_AlBiddaConcourse,12,176
Metro_AlAziziyah,Metro_AlBiddaConcourse,13,211
Metro_AlAziziyah,Metro_AlBiddaConcourse,14,176
Metro_AlAziziyah,Metro_AlBiddaConcourse,15,84
Metro_AlAziziyah,Metro_AlBiddaConcourse,16,51
Metro_AlAziziyah,Metro_AlBiddaConcourse,17,31
Metro_AlAziziyah,Metro_AlBiddaConcourse,18,18
Metro_AlAziziyah,Metro_AlBiddaConcourse,19,25
Metro_AlAziziyah,Metro_AlBiddaConcourse,20,20
Metro_AlAziziyah,Metro_AlBiddaConcourse,21,27
Metro_AlAziziyah,Metro_AlBiddaConcourse,22,14
Metro_AlAziziyah,Metro_AlBiddaConcourse,23,21
Metro_AlAziziyah,Metro_AlBiddaRedPlatformNorthBound,23,27
Metro_AlAziziyah,Metro_AlDohaAlJadeda,0,154
Metro_AlAziziyah,Metro_AlDohaAlJadeda,1,97
Metro_AlAziziyah,Metro_AlDohaAlJadeda,2,47
Metro_AlAziziyah,Metro_AlDohaAlJadeda,3,9
Metro_AlAziziyah,Metro_AlDohaAlJadeda,6,6
Metro_AlAziziyah,Metro_AlDohaAlJadeda,7,10
Metro_AlAziziyah,Metro_AlDohaAlJadeda,8,45
Metro_AlAziziyah,Metro_AlDohaAlJadeda,9,74
Metro_AlAziziyah,Metro_AlDohaAlJadeda,10,153
Metro_AlAziziyah,Metro_AlDohaAlJadeda,11,207
Metro_AlAziziyah,Metro_AlDohaAlJadeda,12,194
Metro_AlAziziyah,Metro_AlDohaAlJadeda,13,142
Metro_AlAziziyah,Metro_AlDohaAlJadeda,14,81
Metro_AlAziziyah,Metro_AlDohaAlJadeda,15,42
Metro_AlAziziyah,Metro_AlDohaAlJadeda,16,45
Metro_AlAziziyah,Metro_AlDohaAlJadeda,17,45
Metro_AlAziziyah,Metro_AlDohaAlJadeda,18,26
Metro_AlAziziyah,Metro_AlDohaAlJadeda,19,46
Metro_AlAziziyah,Metro_AlDohaAlJadeda,20,21
Metro_AlAziziyah,Metro_AlDohaAlJadeda,21,12
Metro_AlAziziyah,Metro_AlDohaAlJadeda,22,21
Metro_AlAziziyah,Metro_AlDohaAlJadeda,23,33
Metro_AlAziziyah,Metro_AlMansoura,0,197
Metro_AlAziziyah,Metro_AlMansoura,1,186
Metro_AlAziziyah,Metro_AlMansoura,2,108
Metro_AlAziziyah,Metro_AlMansoura,3,37
Metro_AlAziziyah,Metro_AlMansoura,6,7
Metro_AlAziziyah,Metro_AlMansoura,7,14
Metro_AlAziziyah,Metro_AlMansoura,8,34
Metro_AlAziziyah,Metro_AlMansoura,9,160
Metro_AlAziziyah,Metro_AlMansoura,10,166
Metro_AlAziziyah,Metro_AlMansoura,11,208
Metro_AlAziziyah,Metro_AlMansoura,12,210
Metro_AlAziziyah,Metro_AlMansoura,13,163
Metro_AlAziziyah,Metro_AlMansoura,14,134
Metro_AlAziziyah,Metro_AlMansoura,15,74
Metro_AlAziziyah,Metro_AlMansoura,16,56
Metro_AlAziziyah,Metro_AlMansoura,17,46
Metro_AlAziziyah,Metro_AlMansoura,18,38
Metro_AlAziziyah,Metro_AlMansoura,19,44
Metro_AlAziziyah,Metro_AlMansoura,20,23
Metro_AlAziziyah,Metro_AlMansoura,21,28
Metro_AlAziziyah,Metro_AlMansoura,22,36
Metro_AlAziziyah,Metro_AlMansoura,23,60
Metro_AlAziziyah,Metro_AlMatarAlQadeem,0,62
Metro_AlAziziyah,Metro_AlMatarAlQadeem,1,26
Metro_AlAziziyah,Metro_AlMatarAlQadeem,2,58
Metro_AlAziziyah,Metro_AlMatarAlQadeem,3,25
Metro_AlAziziyah,Metro_AlMatarAlQadeem,7,6
Metro_AlAziziyah,Metro_AlMatarAlQadeem,8,14
Metro_AlAziziyah,Metro_AlMatarAlQadeem,9,57
Metro_AlAziziyah,Metro_AlMatarAlQadeem,10,140
Metro_AlAziziyah,Metro_AlMatarAlQadeem,11,143
Metro_AlAziziyah,Metro_AlMatarAlQadeem,12,161
Metro_AlAziziyah,Metro_AlMatarAlQadeem,13,198
Metro_AlAziziyah,Metro_AlMatarAlQadeem,14,195
Metro_AlAziziyah,Metro_AlMatarAlQadeem,15,127
Metro_AlAziziyah,Metro_AlMatarAlQadeem,16,48
Metro_AlAziziyah,Metro_AlMatarAlQadeem,17,69
Metro_AlAziziyah,Metro_AlMatarAlQadeem,18,50
Metro_AlAziziyah,Metro_AlMatarAlQadeem,19,86
Metro_AlAziziyah,Metro_AlMatarAlQadeem,20,50
Metro_AlAziziyah,Metro_AlMatarAlQadeem,21,21
Metro_AlAziziyah,Metro_AlMatarAlQadeem,22,33
Metro_AlAziziyah,Metro_AlMatarAlQadeem,23,50
Metro_AlAziziyah,Metro_AlMessila,0,25
Metro_AlAziziyah,Metro_AlMessila,1,10
Metro_AlAziziyah,Metro_AlMessila,2,16
Metro_AlAziziyah,Metro_AlMessila,3,1
Metro_AlAziziyah,Metro_AlMessila,8,2
Metro_AlAziziyah,Metro_AlMessila,9,2
Metro_AlAziziyah,Metro_AlMessila,10,7
Metro_AlAziziyah,Metro_AlMessila,11,19
Metro_AlAziziyah,Metro_AlMessila,12,4
Metro_AlAziziyah,Metro_AlMessila,13,8
Metro_AlAziziyah,Metro_AlMessila,14,2
Metro_AlAziziyah,Metro_AlMessila,16,1
Metro_AlAziziyah,Metro_AlMessila,18,2
