origin,destination,dayhour,value
Metro_AlAziziyah,Metro_AlBiddaConcourse,0,8
Metro_AlAziziyah,Metro_AlBiddaConcourse,1,26
Metro_AlAziziyah,Metro_AlBiddaConcourse,2,4
Metro_AlAziziyah,Metro_AlBiddaConcourse,6,2
Metro_AlAziziyah,Metro_AlBiddaConcourse,7,14
Metro_AlAziziyah,Metro_AlBiddaConcourse,8,23
Metro_AlAziziyah,Metro_AlBiddaConcourse,9,54
Metro_AlAziziyah,Metro_AlBiddaConcourse,10,113
Metro_AlAziziyah,Metro_AlBiddaConcourse,11,156
Metro_AlAziziyah,Metro_AlBiddaConcourse,12,189
Metro_AlAziziyah,Metro_AlBiddaConcourse,13,180
Metro_AlAziziyah,Metro_AlBiddaConcourse,14,115
Metro_AlAziziyah,Metro_AlBiddaConcourse,15,89
Metro_AlAziziyah,Metro_AlBiddaConcourse,16,65
Metro_AlAziziyah,Metro_AlBiddaConcourse,17,28
Metro_AlAziziyah,Metro_AlBiddaConcourse,18,36
Metro_AlAziziyah,Metro_AlBiddaConcourse,19,42
Metro_AlAziziyah,Metro_AlBiddaConcourse,20,22
Metro_AlAziziyah,Metro_AlBiddaConcourse,21,64
Metro_AlAziziyah,Metro_AlBiddaConcourse,22,81
Metro_AlAziziyah,Metro_AlBiddaConcourse,23,19
Metro_AlAziziyah,Metro_AlBiddaRedPlatformNorthBound,23,75
Metro_AlAziziyah,Metro_AlDohaAlJadeda,0,57
Metro_AlAziziyah,Metro_AlDohaAlJadeda,1,60
Metro_AlAziziyah,Metro_AlDohaAlJadeda,2,27
Metro_AlAziziyah,Metro_AlDohaAlJadeda,3,5
Metro_AlAziziyah,Metro_AlDohaAlJadeda,6,6
Metro_AlAziziyah,Metro_AlDohaAlJadeda,7,9
Metro_AlAziziyah,Metro_AlDohaAlJadeda,8,14
Metro_AlAziziyah,Metro_AlDohaAlJadeda,9,65
Metro_AlAziziyah,Metro_AlDohaAlJadeda,10,138
Metro_AlAziziyah,Metro_AlDohaAlJadeda,11,158
Metro_AlAziziyah,Metro_AlDohaAlJadeda,12,183
Metro_AlAziziyah,Metro_AlDohaAlJadeda,13,118
Metro_AlAziziyah,Metro_AlDohaAlJadeda,14,106
Metro_AlAziziyah,Metro_AlDohaAlJadeda,15,52
Metro_AlAziziyah,Metro_AlDohaAlJadeda,16,60
Metro_AlAziziyah,Metro_AlDohaAlJadeda,17,22
Metro_AlAziziyah,Metro_AlDohaAlJadeda,18,23
Metro_AlAziziyah,Metro_AlDohaAlJadeda,19,33
Metro_AlAziziyah,Metro_AlDohaAlJadeda,20,16
Metro_AlAziziyah,Metro_AlDohaAlJadeda,21,18
Metro_AlAziziyah,Metro_AlDohaAlJadeda,22,67
Metro_AlAziziyah,Metro_AlDohaAlJadeda,23,129
Metro_AlAziziyah,Metro_AlMansoura,0,75
Metro_AlAziziyah,Metro_AlMansoura,1,131
Metro_AlAziziyah,Metro_AlMansoura,2,92
Metro_AlAziziyah,Metro_AlMansoura,3,46
Metro_AlAziziyah,Metro_AlMansoura,4,1
Metro_AlAziziyah,Metro_AlMansoura,6,8
Metro_AlAziziyah,Metro_AlMansoura,7,14
Metro_AlAziziyah,Metro_AlMansoura,8,46
Metro_AlAziziyah,Metro_AlMansoura,9,104
Metro_AlAziziyah,Metro_AlMansoura,10,177
Metro_AlAziziyah,Metro_AlMansoura,11,179
Metro_AlAziziyah,Metro_AlMansoura,12,198
Metro_AlAziziyah,Metro_AlMansoura,13,244
Metro_AlAziziyah,Metro_AlMansoura,14,94
Metro_AlAziziyah,Metro_AlMansoura,15,64
Metro_AlAziziyah,Metro_AlMansoura,16,59
Metro_AlAziziyah,Metro_AlMansoura,17,29
Metro_AlAziziyah,Metro_AlMansoura,18,46
Metro_AlAziziyah,Metro_AlMansoura,19,58
Metro_AlAziziyah,Metro_AlMansoura,20,23
Metro_AlAziziyah,Metro_AlMansoura,21,64
Metro_AlAziziyah,Metro_AlMansoura,22,73
Metro_AlAziziyah,Metro_AlMansoura,23,42
Metro_AlAziziyah,Metro_AlMatarAlQadeem,0,3
Metro_AlAziziyah,Metro_AlMatarAlQadeem,1,40
Metro_AlAziziyah,Metro_AlMatarAlQadeem,2,27
Metro_AlAziziyah,Metro_AlMatarAlQadeem,3,9
Metro_AlAziziyah,Metro_AlMatarAlQadeem,6,1
Metro_AlAziziyah,Metro_AlMatarAlQadeem,7,2
Metro_AlAziziyah,Metro_AlMatarAlQadeem,8,3
Metro_AlAziziyah,Metro_AlMatarAlQadeem,9,62
Metro_AlAziziyah,Metro_AlMatarAlQadeem,10,79
Metro_AlAziziyah,Metro_AlMatarAlQadeem,11,130
Metro_AlAziziyah,Metro_AlMatarAlQadeem,12,164
Metro_AlAziziyah,Metro_AlMatarAlQadeem,13,205
Metro_AlAziziyah,Metro_AlMatarAlQadeem,14,162
Metro_AlAziziyah,Metro_AlMatarAlQadeem,15,156
Metro_AlAziziyah,Metro_AlMatarAlQadeem,16,135
Metro_AlAziziyah,Metro_AlMatarAlQadeem,17,86
Metro_AlAziziyah,Metro_AlMatarAlQadeem,18,75
Metro_AlAziziyah,Metro_AlMatarAlQadeem,19,47
Metro_AlAziziyah,Metro_AlMatarAlQadeem,20,17
Metro_AlAziziyah,Metro_AlMatarAlQadeem,21,33
Metro_AlAziziyah,Metro_AlMatarAlQadeem,22,59
Metro_AlAziziyah,Metro_AlMatarAlQadeem,23,85
Metro_AlAziziyah,Metro_AlMessila,0,6
Metro_AlAziziyah,Metro_AlMessila,1,12
Metro_AlAziziyah,Metro_AlMessila,2,7
Metro_AlAziziyah,Metro_AlMessila,3,3
Metro_AlAziziyah,Metro_AlMessila,8,2
Metro_AlAziziyah,Metro_AlMessila,9,4
Metro_AlAziziyah,Metro_AlMessila,10,2
Metro_AlAziziyah,Metro_AlMessila,11,2
Metro_AlAziziyah,Metro_AlMessila,12,5
Metro_AlAziziyah,Metro_AlMessila,13,5
Metro_AlAziziyah,Metro_AlMessila,14,4
Metro_AlAziziyah,Metro_AlMessila,15,10
Metro_AlAziziyah,Metro_AlMessila,16,1
Metro_AlAziziyah,Metro_AlMessila,18,1
Metro_AlAziziyah,Metro_AlMessila,19,1
Metro_AlAziziyah,Metro_AlMessila,21,5
Metro_AlAziziyah,Metro_AlMessila,22,15
Metro_AlAziziyah,Metro_AlMessila,23,15
Metro_AlAziziyah,Metro_AlQassar,0,134
Metro_AlAziziyah,Metro_AlQassar,1,238
Metro_AlAziziyah,Metro_AlQassar,2,95
Metro_AlAziziyah,Metro_AlQassar,3,18
Metro_AlAziziyah,Metro_AlQassar,6,7
Metro_AlAziziyah,Metro_AlQassar,7,19
Metro_AlAziziyah,Metro_AlQassar,8,67
Metro_AlAziziyah,Metro_AlQassar,9,103
Metro_AlAziziyah,Metro_AlQassar,10,188
Metro_AlAziziyah,Metro_AlQassar,11,281
Metro_AlAziziyah,Metro_AlQassar,12,481
Metro_AlAziziyah,Metro_AlQassar,13,565
Metro_AlAziziyah,Metro_AlQassar,14,574
Metro_AlAziziyah,Metro_AlQassar,15,380
Metro_AlAziziyah,Metro_AlQassar,16,277
Metro_AlAziziyah,Metro_AlQassar,17,204
Metro_AlAziziyah,Metro_AlQassar,18,236
Metro_AlAziziyah,Metro_AlQassar,19,239
Metro_AlAziziyah,Metro_AlQassar,20,183
Metro_AlAziziyah,Metro_AlQassar,21,202
Metro_AlAziziyah,Metro_AlQassar,22,439
Metro_AlAziziyah,Metro_AlQassar,23,198
Metro_AlAziziyah,Metro_AlRayyanAlQadeem,0,12
Metro_AlAziziyah,Metro_AlRayyanAlQadeem,1,19
Metro_AlAziziyah,Metro_AlRayyanAlQadeem,2,6
Metro_AlAziziyah,Metro_AlRayyanAlQadeem,3,1
Metro_AlAziziyah,Metro_AlRayyanAlQadeem,6,1
