origin,destination,dayhour,halfhour,quarterhour,value
Metro_AlAziziyah,Metro_AlBiddaConcourse,0,0,0,14
Metro_AlAziziyah,Metro_AlBiddaConcourse,0,0,1,4
Metro_AlAziziyah,Metro_AlBiddaConcourse,0,1,2,5
Metro_AlAziziyah,Metro_AlBiddaConcourse,0,1,3,4
Metro_AlAziziyah,Metro_AlBiddaConcourse,1,2,4,13
Metro_AlAziziyah,Metro_AlBiddaConcourse,1,2,5,3
Metro_AlAziziyah,Metro_AlBiddaConcourse,1,3,6,18
Metro_AlAziziyah,Metro_AlBiddaConcourse,1,3,7,6
Metro_AlAziziyah,Metro_AlBiddaConcourse,2,4,8,8
Metro_AlAziziyah,Metro_AlBiddaConcourse,2,4,9,7
Metro_AlAziziyah,Metro_AlBiddaConcourse,2,5,10,4
Metro_AlAziziyah,Metro_AlBiddaConcourse,7,14,28,2
Metro_AlAziziyah,Metro_AlBiddaConcourse,7,14,29,1
Metro_AlAziziyah,Metro_AlBiddaConcourse,7,15,30,8
Metro_AlAziziyah,Metro_AlBiddaConcourse,7,15,31,7
Metro_AlAziziyah,Metro_AlBiddaConcourse,8,16,32,3
Metro_AlAziziyah,Metro_AlBiddaConcourse,8,16,33,3
Metro_AlAziziyah,Metro_AlBiddaConcourse,8,17,34,15
Metro_AlAziziyah,Metro_AlBiddaConcourse,8,17,35,6
Metro_AlAziziyah,Metro_AlBiddaConcourse,9,18,36,10
Metro_AlAziziyah,Metro_AlBiddaConcourse,9,18,37,14
Metro_AlAziziyah,Metro_AlBiddaConcourse,9,19,38,27
Metro_AlAziziyah,Metro_AlBiddaConcourse,9,19,39,23
Metro_AlAziziyah,Metro_AlBiddaConcourse,10,20,40,29
Metro_AlAziziyah,Metro_AlBiddaConcourse,10,20,41,18
Metro_AlAziziyah,Metro_AlBiddaConcourse,10,21,42,48
Metro_AlAziziyah,Metro_AlBiddaConcourse,10,21,43,47
Metro_AlAziziyah,Metro_AlBiddaConcourse,11,22,44,44
Metro_AlAziziyah,Metro_AlBiddaConcourse,11,22,45,38
Metro_AlAziziyah,Metro_AlBiddaConcourse,11,23,46,58
Metro_AlAziziyah,Metro_AlBiddaConcourse,11,23,47,32
Metro_AlAziziyah,Metro_AlBiddaConcourse,12,24,48,45
Metro_AlAziziyah,Metro_AlBiddaConcourse,12,24,49,51
