origin,destination,dayhour,value
Metro_AlAziziyah,Metro_AlMansoura,14,137
Metro_AlAziziyah,Metro_AlMansoura,15,134
Metro_AlAziziyah,Metro_AlMansoura,16,68
Metro_AlAziziyah,Metro_AlMansoura,17,30
Metro_AlAziziyah,Metro_AlMansoura,18,24
Metro_AlAziziyah,Metro_AlMansoura,19,20
Metro_AlAziziyah,Metro_AlMansoura,20,22
Metro_AlAziziyah,Metro_AlMansoura,21,17
Metro_AlAziziyah,Metro_AlMansoura,22,20
Metro_AlAziziyah,Metro_AlMansoura,23,8
Metro_AlAziziyah,Metro_AlMatarAlQadeem,0,19
Metro_AlAziziyah,Metro_AlMatarAlQadeem,1,29
Metro_AlAziziyah,Metro_AlMatarAlQadeem,2,53
Metro_AlAziziyah,Metro_AlMatarAlQadeem,3,10
Metro_AlAziziyah,Metro_AlMatarAlQadeem,6,2
Metro_AlAziziyah,Metro_AlMatarAlQadeem,7,1
Metro_AlAziziyah,Metro_AlMatarAlQadeem,8,7
Metro_AlAziziyah,Metro_AlMatarAlQadeem,9,49
Metro_AlAziziyah,Metro_AlMatarAlQadeem,10,83
Metro_AlAziziyah,Metro_AlMatarAlQadeem,11,152
Metro_AlAziziyah,Metro_AlMatarAlQadeem,12,195
Metro_AlAziziyah,Metro_AlMatarAlQadeem,13,132
Metro_AlAziziyah,Metro_AlMatarAlQadeem,14,206
Metro_AlAziziyah,Metro_AlMatarAlQadeem,15,164
Metro_AlAziziyah,Metro_AlMatarAlQadeem,16,92
Metro_AlAziziyah,Metro_AlMatarAlQadeem,17,72
Metro_AlAziziyah,Metro_AlMatarAlQadeem,18,73
Metro_AlAziziyah,Metro_AlMatarAlQadeem,19,27
Metro_AlAziziyah,Metro_AlMatarAlQadeem,20,20
Metro_AlAziziyah,Metro_AlMatarAlQadeem,21,33
Metro_AlAziziyah,Metro_AlMatarAlQadeem,22,32
Metro_AlAziziyah,Metro_AlMatarAlQadeem,23,10
Metro_AlAziziyah,Metro_AlMessila,0,12
Metro_AlAziziyah,Metro_AlMessila,1,15
Metro_AlAziziyah,Metro_AlMessila,2,5
Metro_AlAziziyah,Metro_AlMessila,9,1
Metro_AlAziziyah,Metro_AlMessila,10,5
Metro_AlAziziyah,Metro_AlMessila,11,23
Metro_AlAziziyah,Metro_AlMessila,12,11
Metro_AlAziziyah,Metro_AlMessila,13,17
Metro_AlAziziyah,Metro_AlMessila,14,17
Metro_AlAziziyah,Metro_AlMessila,15,7
Metro_AlAziziyah,Metro_AlMessila,17,2
Metro_AlAziziyah,Metro_AlMessila,18,2
Metro_AlAziziyah,Metro_AlMessila,22,1
Metro_AlAziziyah,Metro_AlQassar,0,207
Metro_AlAziziyah,Metro_AlQassar,1,313
Metro_AlAziziyah,Metro_AlQassar,2,120
Metro_AlAziziyah,Metro_AlQassar,3,38
Metro_AlAziziyah,Metro_AlQassar,6,1
Metro_AlAziziyah,Metro_AlQassar,7,19
Metro_AlAziziyah,Metro_AlQassar,8,66
Metro_AlAziziyah,Metro_AlQassar,9,134
Metro_AlAziziyah,Metro_AlQassar,10,159
Metro_AlAziziyah,Metro_AlQassar,11,267
Metro_AlAziziyah,Metro_AlQassar,12,441
Metro_AlAziziyah,Metro_AlQassar,13,617
Metro_AlAziziyah,Metro_AlQassar,14,583
Metro_AlAziziyah,Metro_AlQassar,15,598
Metro_AlAziziyah,Metro_AlQassar,16,403
Metro_AlAziziyah,Metro_AlQassar,17,322
Metro_AlAziziyah,Metro_AlQassar,18,190
Metro_AlAziziyah,Metro_AlQassar,19,136
Metro_AlAziziyah,Metro_AlQassar,20,122
Metro_AlAziziyah,Metro_AlQassar,21,136
Metro_AlAziziyah,Metro_AlQassar,22,131
Metro_AlAziziyah,Metro_AlQassar,23,4
Metro_AlAziziyah,Metro_AlRayyanAlQadeem,0,9
Metro_AlAziziyah,Metro_AlRayyanAlQadeem,1,15
Metro_AlAziziyah,Metro_AlRayyanAlQadeem,2,16
Metro_AlAziziyah,Metro_AlRayyanAlQadeem,3,1
Metro_AlAziziyah,Metro_AlRayyanAlQadeem,8,1
Metro_AlAziziyah,Metro_AlRayyanAlQadeem,9,1
Metro_AlAziziyah,Metro_AlRayyanAlQadeem,10,14
Metro_AlAziziyah,Metro_AlRayyanAlQadeem,11,25
Metro_AlAziziyah,Metro_AlRayyanAlQadeem,12,20
Metro_AlAziziyah,Metro_AlRayyanAlQadeem,13,17
Metro_AlAziziyah,Metro_AlRayyanAlQadeem,14,15
Metro_AlAziziyah,Metro_AlRayyanAlQadeem,16,2
Metro_AlAziziyah,Metro_AlRayyanAlQadeem,17,2
Metro_AlAziziyah,Metro_AlRayyanAlQadeem,18,7
Metro_AlAziziyah,Metro_AlRayyanAlQadeem,21,1
Metro_AlAziziyah,Metro_AlRayyanAlQadeem,23,4
Metro_AlAziziyah,Metro_AlRiffa,0,4
Metro_AlAziziyah,Metro_AlRiffa,1,3
Metro_AlAziziyah,Metro_AlRiffa,2,1
Metro_AlAziziyah,Metro_AlRiffa,9,5
Metro_AlAziziyah,Metro_AlRiffa,10,15
Metro_AlAziziyah,Metro_AlRiffa,11,31
Metro_AlAziziyah,Metro_AlRiffa,12,26
Metro_AlAziziyah,Metro_AlRiffa,13,38
Metro_AlAziziyah,Metro_AlRiffa,14,34
Metro_AlAziziyah,Metro_AlRiffa,15,16
Metro_AlAziziyah,Metro_AlRiffa,16,11
Metro_AlAziziyah,Metro_AlRiffa,17,2
Metro_AlAziziyah,Metro_AlRiffa,18,1
Metro_AlAziziyah,Metro_AlRiffa,19,1
Metro_AlAziziyah,Metro_AlRiffa,20,3
Metro_AlAziziyah,Metro_AlRiffa,21,2
Metro_AlAziziyah,Metro_AlSadd,0,39
Metro_AlAziziyah,Metro_AlSadd,1,51
Metro_AlAziziyah,Metro_AlSadd,2,23
Metro_AlAziziyah,Metro_AlSadd,3,18
Metro_AlAziziyah,Metro_AlSadd,6,2
