origin,destination,dayhour,halfhour,value
Metro_AlAziziyah,Metro_AlBiddaConcourse,0,0,18
Metro_AlAziziyah,Metro_AlBiddaConcourse,0,1,9
Metro_AlAziziyah,Metro_AlBiddaConcourse,1,2,16
Metro_AlAziziyah,Metro_AlBiddaConcourse,1,3,24
Metro_AlAziziyah,Metro_AlBiddaConcourse,2,4,15
Metro_AlAziziyah,Metro_AlBiddaConcourse,2,5,4
Metro_AlAziziyah,Metro_AlBiddaConcourse,7,14,3
Metro_AlAziziyah,Metro_AlBiddaConcourse,7,15,15
Metro_AlAziziyah,Metro_AlBiddaConcourse,8,16,6
Metro_AlAziziyah,Metro_AlBiddaConcourse,8,17,21
Metro_AlAziziyah,Metro_AlBiddaConcourse,9,18,24
Metro_AlAziziyah,Metro_AlBiddaConcourse,9,19,50
Metro_AlAziziyah,Metro_AlBiddaConcourse,10,20,47
Metro_AlAziziyah,Metro_AlBiddaConcourse,10,21,95
Metro_AlAziziyah,Metro_AlBiddaConcourse,11,22,82
Metro_AlAziziyah,Metro_AlBiddaConcourse,11,23,90
Metro_AlAziziyah,Metro_AlBiddaConcourse,12,24,96
Metro_AlAziziyah,Metro_AlBiddaConcourse,12,25,80
Metro_AlAziziyah,Metro_AlBiddaConcourse,13,26,103
Metro_AlAziziyah,Metro_AlBiddaConcourse,13,27,108
Metro_AlAziziyah,Metro_AlBiddaConcourse,14,28,105
Metro_AlAziziyah,Metro_AlBiddaConcourse,14,29,71
Metro_AlAziziyah,Metro_AlBiddaConcourse,15,30,49
Metro_AlAziziyah,Metro_AlBiddaConcourse,15,31,35
Metro_AlAziziyah,Metro_AlBiddaConcourse,16,32,32
Metro_AlAziziyah,Metro_AlBiddaConcourse,16,33,19
Metro_AlAziziyah,Metro_AlBiddaConcourse,17,34,20
Metro_AlAziziyah,Metro_AlBiddaConcourse,17,35,11
Metro_AlAziziyah,Metro_AlBiddaConcourse,18,36,9
Metro_AlAziziyah,Metro_AlBiddaConcourse,18,37,9
Metro_AlAziziyah,Metro_AlBiddaConcourse,19,38,15
Metro_AlAziziyah,Metro_AlBiddaConcourse,19,39,10
Metro_AlAziziyah,Metro_AlBiddaConcourse,20,40,15
Metro_AlAziziyah,Metro_AlBiddaConcourse,20,41,5
Metro_AlAziziyah,Metro_AlBiddaConcourse,21,42,11
Metro_AlAziziyah,Metro_AlBiddaConcourse,21,43,16
Metro_AlAziziyah,Metro_AlBiddaConcourse,22,44,8
Metro_AlAziziyah,Metro_AlBiddaConcourse,22,45,6
Metro_AlAziziyah,Metro_AlBiddaConcourse,23,46,10
Metro_AlAziziyah,Metro_AlBiddaConcourse,23,47,11
Metro_AlAziziyah,Metro_AlBiddaRedPlatformNorthBound,23,47,27
Metro_AlAziziyah,Metro_AlDohaAlJadeda,0,0,100
Metro_AlAziziyah,Metro_AlDohaAlJadeda,0,1,54
Metro_AlAziziyah,Metro_AlDohaAlJadeda,1,2,53
Metro_AlAziziyah,Metro_AlDohaAlJadeda,1,3,44
Metro_AlAziziyah,Metro_AlDohaAlJadeda,2,4,29
Metro_AlAziziyah,Metro_AlDohaAlJadeda,2,5,18
Metro_AlAziziyah,Metro_AlDohaAlJadeda,3,6,7
Metro_AlAziziyah,Metro_AlDohaAlJadeda,3,7,2
Metro_AlAziziyah,Metro_AlDohaAlJadeda,6,12,2
Metro_AlAziziyah,Metro_AlDohaAlJadeda,6,13,4
Metro_AlAziziyah,Metro_AlDohaAlJadeda,7,14,3
Metro_AlAziziyah,Metro_AlDohaAlJadeda,7,15,7
Metro_AlAziziyah,Metro_AlDohaAlJadeda,8,16,12
Metro_AlAziziyah,Metro_AlDohaAlJadeda,8,17,33
Metro_AlAziziyah,Metro_AlDohaAlJadeda,9,18,24
Metro_AlAziziyah,Metro_AlDohaAlJadeda,9,19,50
Metro_AlAziziyah,Metro_AlDohaAlJadeda,10,20,69
Metro_AlAziziyah,Metro_AlDohaAlJadeda,10,21,84
Metro_AlAziziyah,Metro_AlDohaAlJadeda,11,22,93
Metro_AlAziziyah,Metro_AlDohaAlJadeda,11,23,114
Metro_AlAziziyah,Metro_AlDohaAlJadeda,12,24,109
Metro_AlAziziyah,Metro_AlDohaAlJadeda,12,25,85
Metro_AlAziziyah,Metro_AlDohaAlJadeda,13,26,74
Metro_AlAziziyah,Metro_AlDohaAlJadeda,13,27,68
Metro_AlAziziyah,Metro_AlDohaAlJadeda,14,28,43
Metro_AlAziziyah,Metro_AlDohaAlJadeda,14,29,38
Metro_AlAziziyah,Metro_AlDohaAlJadeda,15,30,22
Metro_AlAziziyah,Metro_AlDohaAlJadeda,15,31,20
Metro_AlAziziyah,Metro_AlDohaAlJadeda,16,32,27
Metro_AlAziziyah,Metro_AlDohaAlJadeda,16,33,18
Metro_AlAziziyah,Metro_AlDohaAlJadeda,17,34,28
Metro_AlAziziyah,Metro_AlDohaAlJadeda,17,35,17
Metro_AlAziziyah,Metro_AlDohaAlJadeda,18,36,14
Metro_AlAziziyah,Metro_AlDohaAlJadeda,18,37,12
Metro_AlAziziyah,Metro_AlDohaAlJadeda,19,38,9
Metro_AlAziziyah,Metro_AlDohaAlJadeda,19,39,37
Metro_AlAziziyah,Metro_AlDohaAlJadeda,20,40,10
Metro_AlAziziyah,Metro_AlDohaAlJadeda,20,41,11
Metro_AlAziziyah,Metro_AlDohaAlJadeda,21,42,7
Metro_AlAziziyah,Metro_AlDohaAlJadeda,21,43,5
Metro_AlAziziyah,Metro_AlDohaAlJadeda,22,44,15
Metro_AlAziziyah,Metro_AlDohaAlJadeda,22,45,6
Metro_AlAziziyah,Metro_AlDohaAlJadeda,23,46,14
Metro_AlAziziyah,Metro_AlDohaAlJadeda,23,47,19
Metro_AlAziziyah,Metro_AlMansoura,0,0,132
Metro_AlAziziyah,Metro_AlMansoura,0,1,65
Metro_AlAziziyah,Metro_AlMansoura,1,2,89
Metro_AlAziziyah,Metro_AlMansoura,1,3,97
Metro_AlAziziyah,Metro_AlMansoura,2,4,59
Metro_AlAziziyah,Metro_AlMansoura,2,5,49
Metro_AlAziziyah,Metro_AlMansoura,3,6,29
Metro_AlAziziyah,Metro_AlMansoura,3,7,8
Metro_AlAziziyah,Metro_AlMansoura,6,12,1
Metro_AlAziziyah,Metro_AlMansoura,6,13,6
Metro_AlAziziyah,Metro_AlMansoura,7,14,9
Metro_AlAziziyah,Metro_AlMansoura,7,15,5
Metro_AlAziziyah,Metro_AlMansoura,8,16,11
Metro_AlAziziyah,Metro_AlMansoura,8,17,23
Metro_AlAziziyah,Metro_AlMansoura,9,18,42
Metro_AlAziziyah,Metro_AlMansoura,9,19,118
Metro_AlAziziyah,Metro_AlMansoura,10,20,88
Metro_AlAziziyah,Metro_AlMansoura,10,21,78
Metro_AlAziziyah,Metro_AlMansoura,11,22,120
Metro_AlAziziyah,Metro_AlMansoura,11,23,88
Metro_AlAziziyah,Metro_AlMansoura,12,24,96
Metro_AlAziziyah,Metro_AlMansoura,12,25,114
Metro_AlAziziyah,Metro_AlMansoura,13,26,82
Metro_AlAziziyah,Metro_AlMansoura,13,27,81
Metro_AlAziziyah,Metro_AlMansoura,14,28,78
Metro_AlAziziyah,Metro_AlMansoura,14,29,56
Metro_AlAziziyah,Metro_AlMansoura,15,30,32
Metro_AlAziziyah,Metro_AlMansoura,15,31,42
Metro_AlAziziyah,Metro_AlMansoura,16,32,27
Metro_AlAziziyah,Metro_AlMansoura,16,33,29
Metro_AlAziziyah,Metro_AlMansoura,17,34,35
Metro_AlAziziyah,Metro_AlMansoura,17,35,11
Metro_AlAziziyah,Metro_AlMansoura,18,36,21
Metro_AlAziziyah,Metro_AlMansoura,18,37,17
Metro_AlAziziyah,Metro_AlMansoura,19,38,16
Metro_AlAziziyah,Metro_AlMansoura,19,39,28
Metro_AlAziziyah,Metro_AlMansoura,20,40,13
Metro_AlAziziyah,Metro_AlMansoura,20,41,10
