origin,destination,dayhour,halfhour,value
Metro_AlAziziyah,Metro_AlBiddaConcourse,0,0,18
Metro_AlAziziyah,Metro_AlBiddaConcourse,0,1,3
Metro_AlAziziyah,Metro_AlBiddaConcourse,1,2,19
Metro_AlAziziyah,Metro_AlBiddaConcourse,1,3,4
Metro_AlAziziyah,Metro_AlBiddaConcourse,2,4,1
Metro_AlAziziyah,Metro_AlBiddaConcourse,6,13,1
Metro_AlAziziyah,Metro_AlBiddaConcourse,7,14,5
Metro_AlAziziyah,Metro_AlBiddaConcourse,7,15,9
Metro_AlAziziyah,Metro_AlBiddaConcourse,8,16,8
Metro_AlAziziyah,Metro_AlBiddaConcourse,8,17,25
Metro_AlAziziyah,Metro_AlBiddaConcourse,9,18,24
Metro_AlAziziyah,Metro_AlBiddaConcourse,9,19,42
Metro_AlAziziyah,Metro_AlBiddaConcourse,10,20,57
Metro_AlAziziyah,Metro_AlBiddaConcourse,10,21,66
Metro_AlAziziyah,Metro_AlBiddaConcourse,11,22,97
Metro_AlAziziyah,Metro_AlBiddaConcourse,11,23,111
Metro_AlAziziyah,Metro_AlBiddaConcourse,12,24,99
Metro_AlAziziyah,Metro_AlBiddaConcourse,12,25,113
Metro_AlAziziyah,Metro_AlBiddaConcourse,13,26,99
Metro_AlAziziyah,Metro_AlBiddaConcourse,13,27,146
Metro_AlAziziyah,Metro_AlBiddaConcourse,14,28,105
Metro_AlAziziyah,Metro_AlBiddaConcourse,14,29,96
Metro_AlAziziyah,Metro_AlBiddaConcourse,15,30,73
Metro_AlAziziyah,Metro_AlBiddaConcourse,15,31,60
Metro_AlAziziyah,Metro_AlBiddaConcourse,16,32,40
Metro_AlAziziyah,Metro_AlBiddaConcourse,16,33,44
Metro_AlAziziyah,Metro_AlBiddaConcourse,17,34,37
Metro_AlAziziyah,Metro_AlBiddaConcourse,17,35,28
Metro_AlAziziyah,Metro_AlBiddaConcourse,18,36,24
Metro_AlAziziyah,Metro_AlBiddaConcourse,18,37,16
Metro_AlAziziyah,Metro_AlBiddaConcourse,19,38,15
Metro_AlAziziyah,Metro_AlBiddaConcourse,19,39,8
Metro_AlAziziyah,Metro_AlBiddaConcourse,20,40,18
Metro_AlAziziyah,Metro_AlBiddaConcourse,20,41,46
Metro_AlAziziyah,Metro_AlBiddaConcourse,21,42,56
Metro_AlAziziyah,Metro_AlBiddaGreenPlatformNorthBound,21,42,9
