origin,destination,dayhour,halfhour,quarterhour,value
Metro_AlAziziyah,Metro_AlBiddaConcourse,0,0,0,2
Metro_AlAziziyah,Metro_AlBiddaConcourse,0,0,1,6
Metro_AlAziziyah,Metro_AlBiddaConcourse,1,2,4,5
Metro_AlAziziyah,Metro_AlBiddaConcourse,1,2,5,9
Metro_AlAziziyah,Metro_AlBiddaConcourse,1,3,6,11
Metro_AlAziziyah,Metro_AlBiddaConcourse,1,3,7,1
Metro_AlAziziyah,Metro_AlBiddaConcourse,2,4,8,3
Metro_AlAziziyah,Metro_AlBiddaConcourse,2,5,10,1
Metro_AlAziziyah,Metro_AlBiddaConcourse,6,13,26,1
Metro_AlAziziyah,Metro_AlBiddaConcourse,6,13,27,1
Metro_AlAziziyah,Metro_AlBiddaConcourse,7,14,28,3
Metro_AlAziziyah,Metro_AlBiddaConcourse,7,14,29,3
Metro_AlAziziyah,Metro_AlBiddaConcourse,7,15,30,6
Metro_AlAziziyah,Metro_AlBiddaConcourse,7,15,31,2
Metro_AlAziziyah,Metro_AlBiddaConcourse,8,16,32,6
Metro_AlAziziyah,Metro_AlBiddaConcourse,8,16,33,2
Metro_AlAziziyah,Metro_AlBiddaConcourse,8,17,34,6
Metro_AlAziziyah,Metro_AlBiddaConcourse,8,17,35,9
Metro_AlAziziyah,Metro_AlBiddaConcourse,9,18,36,8
Metro_AlAziziyah,Metro_AlBiddaConcourse,9,18,37,13
Metro_AlAziziyah,Metro_AlBiddaConcourse,9,19,38,15
Metro_AlAziziyah,Metro_AlBiddaConcourse,9,19,39,18
Metro_AlAziziyah,Metro_AlBiddaConcourse,10,20,40,15
Metro_AlAziziyah,Metro_AlBiddaConcourse,10,20,41,22
Metro_AlAziziyah,Metro_AlBiddaConcourse,10,21,42,35
Metro_AlAziziyah,Metro_AlBiddaConcourse,10,21,43,41
Metro_AlAziziyah,Metro_AlBiddaConcourse,11,22,44,33
Metro_AlAziziyah,Metro_AlBiddaConcourse,11,22,45,47
Metro_AlAziziyah,Metro_AlBiddaConcourse,11,23,46,25
Metro_AlAziziyah,Metro_AlBiddaConcourse,11,23,47,51
Metro_AlAziziyah,Metro_AlBiddaConcourse,12,24,48,33
Metro_AlAziziyah,Metro_AlBiddaConcourse,12,24,49,48
Metro_AlAziziyah,Metro_AlBiddaConcourse,12,25,50,58
Metro_AlAziziyah,Metro_AlBiddaConcourse,12,25,51,50
Metro_AlAziziyah,Metro_AlBiddaConcourse,13,26,52,44
Metro_AlAziziyah,Metro_AlBiddaConcourse,13,26,53,36
Metro_AlAziziyah,Metro_AlBiddaConcourse,13,27,54,52
Metro_AlAziziyah,Metro_AlBiddaConcourse,13,27,55,48
Metro_AlAziziyah,Metro_AlBiddaConcourse,14,28,56,25
Metro_AlAziziyah,Metro_AlBiddaConcourse,14,28,57,37
Metro_AlAziziyah,Metro_AlBiddaConcourse,14,29,58,22
Metro_AlAziziyah,Metro_AlBiddaConcourse,14,29,59,31
Metro_AlAziziyah,Metro_AlBiddaConcourse,15,30,60,24
Metro_AlAziziyah,Metro_AlBiddaConcourse,15,30,61,24
Metro_AlAziziyah,Metro_AlBiddaConcourse,15,31,62,20
Metro_AlAziziyah,Metro_AlBiddaConcourse,15,31,63,21
Metro_AlAziziyah,Metro_AlBiddaConcourse,16,32,64,23
Metro_AlAziziyah,Metro_AlBiddaConcourse,16,32,65,25
Metro_AlAziziyah,Metro_AlBiddaConcourse,16,33,66,10
Metro_AlAziziyah,Metro_AlBiddaConcourse,16,33,67,7
Metro_AlAziziyah,Metro_AlBiddaConcourse,17,34,68,9
Metro_AlAziziyah,Metro_AlBiddaConcourse,17,34,69,9
Metro_AlAziziyah,Metro_AlBiddaConcourse,17,35,70,8
Metro_AlAziziyah,Metro_AlBiddaConcourse,17,35,71,2
Metro_AlAziziyah,Metro_AlBiddaConcourse,18,36,72,7
Metro_AlAziziyah,Metro_AlBiddaConcourse,18,36,73,12
Metro_AlAziziyah,Metro_AlBiddaConcourse,18,37,74,7
Metro_AlAziziyah,Metro_AlBiddaConcourse,18,37,75,10
Metro_AlAziziyah,Metro_AlBiddaConcourse,19,38,76,17
Metro_AlAziziyah,Metro_AlBiddaConcourse,19,38,77,9
Metro_AlAziziyah,Metro_AlBiddaConcourse,19,39,78,8
Metro_AlAziziyah,Metro_AlBiddaConcourse,19,39,79,8
Metro_AlAziziyah,Metro_AlBiddaConcourse,20,40,80,6
Metro_AlAziziyah,Metro_AlBiddaConcourse,20,40,81,7
Metro_AlAziziyah,Metro_AlBiddaConcourse,20,41,82,1
Metro_AlAziziyah,Metro_AlBiddaConcourse,20,41,83,8
Metro_AlAziziyah,Metro_AlBiddaConcourse,21,42,84,6
Metro_AlAziziyah,Metro_AlBiddaConcourse,21,42,85,13
Metro_AlAziziyah,Metro_AlBiddaConcourse,21,43,86,24
Metro_AlAziziyah,Metro_AlBiddaConcourse,21,43,87,21
Metro_AlAziziyah,Metro_AlBiddaConcourse,22,44,88,18
Metro_AlAziziyah,Metro_AlBiddaConcourse,22,44,89,12
Metro_AlAziziyah,Metro_AlBiddaConcourse,22,45,90,20
Metro_AlAziziyah,Metro_AlBiddaConcourse,22,45,91,31
Metro_AlAziziyah,Metro_AlBiddaConcourse,23,46,92,18
Metro_AlAziziyah,Metro_AlBiddaConcourse,23,47,95,1
Metro_AlAziziyah,Metro_AlBiddaRedPlatformNorthBound,23,46,92,75
