origin,destination,dayhour,halfhour,value
Metro_AlAziziyah,Metro_AlBiddaConcourse,0,0,8
Metro_AlAziziyah,Metro_AlBiddaConcourse,1,2,14
Metro_AlAziziyah,Metro_AlBiddaConcourse,1,3,12
Metro_AlAziziyah,Metro_AlBiddaConcourse,2,4,3
Metro_AlAziziyah,Metro_AlBiddaConcourse,2,5,1
Metro_AlAziziyah,Metro_AlBiddaConcourse,6,13,2
Metro_AlAziziyah,Metro_AlBiddaConcourse,7,14,6
Metro_AlAziziyah,Metro_AlBiddaConcourse,7,15,8
Metro_AlAziziyah,Metro_AlBiddaConcourse,8,16,8
Metro_AlAziziyah,Metro_AlBiddaConcourse,8,17,15
Metro_AlAziziyah,Metro_AlBiddaConcourse,9,18,21
Metro_AlAziziyah,Metro_AlBiddaConcourse,9,19,33
Metro_AlAziziyah,Metro_AlBiddaConcourse,10,20,37
Metro_AlAziziyah,Metro_AlBiddaConcourse,10,21,76
Metro_AlAziziyah,Metro_AlBiddaConcourse,11,22,80
Metro_AlAziziyah,Metro_AlBiddaConcourse,11,23,76
Metro_AlAziziyah,Metro_AlBiddaConcourse,12,24,81
Metro_AlAziziyah,Metro_AlBiddaConcourse,12,25,108
Metro_AlAziziyah,Metro_AlBiddaConcourse,13,26,80
Metro_AlAziziyah,Metro_AlBiddaConcourse,13,27,100
Metro_AlAziziyah,Metro_AlBiddaConcourse,14,28,62
Metro_AlAziziyah,Metro_AlBiddaConcourse,14,29,53
Metro_AlAziziyah,Metro_AlBiddaConcourse,15,30,48
Metro_AlAziziyah,Metro_AlBiddaConcourse,15,31,41
Metro_AlAziziyah,Metro_AlBiddaConcourse,16,32,48
Metro_AlAziziyah,Metro_AlBiddaConcourse,16,33,17
Metro_AlAziziyah,Metro_AlBiddaConcourse,17,34,18
Metro_AlAziziyah,Metro_AlBiddaConcourse,17,35,10
Metro_AlAziziyah,Metro_AlBiddaConcourse,18,36,19
Metro_AlAziziyah,Metro_AlBiddaConcourse,18,37,17
Metro_AlAziziyah,Metro_AlBiddaConcourse,19,38,26
Metro_AlAziziyah,Metro_AlBiddaConcourse,19,39,16
Metro_AlAziziyah,Metro_AlBiddaConcourse,20,40,13
Metro_AlAziziyah,Metro_AlBiddaConcourse,20,41,9
Metro_AlAziziyah,Metro_AlBiddaConcourse,21,42,19
Metro_AlAziziyah,Metro_AlBiddaConcourse,21,43,45
Metro_AlAziziyah,Metro_AlBiddaConcourse,22,44,30
Metro_AlAziziyah,Metro_AlBiddaConcourse,22,45,51
Metro_AlAziziyah,Metro_AlBiddaConcourse,23,46,18
Metro_AlAziziyah,Metro_AlBiddaConcourse,23,47,1
Metro_AlAziziyah,Metro_AlBiddaRedPlatformNorthBound,23,46,75
Metro_AlAziziyah,Metro_AlDohaAlJadeda,0,0,33
Metro_AlAziziyah,Metro_AlDohaAlJadeda,0,1,24
Metro_AlAziziyah,Metro_AlDohaAlJadeda,1,2,39
Metro_AlAziziyah,Metro_AlDohaAlJadeda,1,3,21
Metro_AlAziziyah,Metro_AlDohaAlJadeda,2,4,15
Metro_AlAziziyah,Metro_AlDohaAlJadeda,2,5,12
Metro_AlAziziyah,Metro_AlDohaAlJadeda,3,6,4
Metro_AlAziziyah,Metro_AlDohaAlJadeda,3,7,1
Metro_AlAziziyah,Metro_AlDohaAlJadeda,6,12,3
Metro_AlAziziyah,Metro_AlDohaAlJadeda,6,13,3
Metro_AlAziziyah,Metro_AlDohaAlJadeda,7,14,6
Metro_AlAziziyah,Metro_AlDohaAlJadeda,7,15,3
Metro_AlAziziyah,Metro_AlDohaAlJadeda,8,16,6
Metro_AlAziziyah,Metro_AlDohaAlJadeda,8,17,8
Metro_AlAziziyah,Metro_AlDohaAlJadeda,9,18,21
Metro_AlAziziyah,Metro_AlDohaAlJadeda,9,19,44
Metro_AlAziziyah,Metro_AlDohaAlJadeda,10,20,48
Metro_AlAziziyah,Metro_AlDohaAlJadeda,10,21,90
Metro_AlAziziyah,Metro_AlDohaAlJadeda,11,22,100
Metro_AlAziziyah,Metro_AlDohaAlJadeda,11,23,58
Metro_AlAziziyah,Metro_AlDohaAlJadeda,12,24,98
Metro_AlAziziyah,Metro_AlDohaAlJadeda,12,25,85
Metro_AlAziziyah,Metro_AlDohaAlJadeda,13,26,64
Metro_AlAziziyah,Metro_AlDohaAlJadeda,13,27,54
Metro_AlAziziyah,Metro_AlDohaAlJadeda,14,28,57
Metro_AlAziziyah,Metro_AlDohaAlJadeda,14,29,49
Metro_AlAziziyah,Metro_AlDohaAlJadeda,15,30,29
Metro_AlAziziyah,Metro_AlDohaAlJadeda,15,31,23
Metro_AlAziziyah,Metro_AlDohaAlJadeda,16,32,25
Metro_AlAziziyah,Metro_AlDohaAlJadeda,16,33,35
Metro_AlAziziyah,Metro_AlDohaAlJadeda,17,34,5
Metro_AlAziziyah,Metro_AlDohaAlJadeda,17,35,17
Metro_AlAziziyah,Metro_AlDohaAlJadeda,18,36,8
Metro_AlAziziyah,Metro_AlDohaAlJadeda,18,37,15
Metro_AlAziziyah,Metro_AlDohaAlJadeda,19,38,23
Metro_AlAziziyah,Metro_AlDohaAlJadeda,19,39,10
Metro_AlAziziyah,Metro_AlDohaAlJadeda,20,40,7
Metro_AlAziziyah,Metro_AlDohaAlJadeda,20,41,9
Metro_AlAziziyah,Metro_AlDohaAlJadeda,21,42,7
Metro_AlAziziyah,Metro_AlDohaAlJadeda,21,43,11
Metro_AlAziziyah,Metro_AlDohaAlJadeda,22,44,8
Metro_AlAziziyah,Metro_AlDohaAlJadeda,22,45,59
Metro_AlAziziyah,Metro_AlDohaAlJadeda,23,46,125
Metro_AlAziziyah,Metro_AlDohaAlJadeda,23,47,4
Metro_AlAziziyah,Metro_AlMansoura,0,0,46
Metro_AlAziziyah,Metro_AlMansoura,0,1,29
Metro_AlAziziyah,Metro_AlMansoura,1,2,67
Metro_AlAziziyah,Metro_AlMansoura,1,3,64
Metro_AlAziziyah,Metro_AlMansoura,2,4,54
Metro_AlAziziyah,Metro_AlMansoura,2,5,38
