Origin,Destination,Capacity,Traveltime,Category
Metro_MsheirebGoldPlatformEastBound,Metro_MsheirebRedAndGreenPlatformSouthBound,150,2.0,Pedestrian Path
Metro_MsheirebRedAndGreenPlatformSouthBound,Metro_MsheirebGoldPlatformWestBound,150,2.0,Pedestrian Path
Metro_AlDohaAlJadeda,Metro_UmmGhuwailina,406,2.0,Red Line
Metro_NationalMuseum,Metro_RasBuAbboud,203,3.0,Golden Line
Metro_OqbaIbnNafie,Metro_HamadIntlAirportT1,85,7.0,Red Line
Metro_SportCity,Metro_AlWaabQLM,203,3.0,Golden Line
Metro_AlSadd,Metro_BinMahmoud,203,2.0,Golden Line
Metro_SouqWaqif,Metro_NationalMuseum,203,2.0,Golden Line
Metro_AlAziziyah,Metro_SportCity,203,2.0,Golden Line
Metro_RasBuAbboud,Metro_NationalMuseum,203,3.0,Golden Line
Metro_AlBiddaRedPlatformNorthBound,Metro_Corniche,406,3.0,Red Line
Metro_SouqWaqif,Metro_MsheirebGoldPlatformWestBound,203,2.0,Golden Line
Metro_NationalMuseum,Metro_SouqWaqif,203,2.0,Golden Line
Metro_SportCity,Metro_AlAziziyah,203,2.0,Golden Line
Metro_AlSudan,Metro_AlWaabQLM,203,3.0,Golden Line
Metro_Joaan,Metro_AlSudan,203,3.0,Golden Line
Metro_MsheirebGoldPlatformWestBound,Metro_BinMahmoud,203,2.0,Golden Line
Metro_MsheirebRedAndGreenPlatformSouthBound,Metro_AlDohaAlJadeda,406,3.0,Red Line
Metro_UmmGhuwailina,Metro_AlMatarAlQadeem,406,2.0,Red Line
Metro_AlSadd,Metro_Joaan,203,2.0,Golden Line
Metro_QatarUniversity,Metro_Lusail,406,4.0,Red Line
Metro_BinMahmoud,Metro_AlSadd,203,2.0,Golden Line
Metro_Corniche,Metro_AlBiddaRedPlatformSouthBound,406,3.0,Red Line
Metro_BinMahmoud,Metro_MsheirebGoldPlatformEastBound,203,2.0,Golden Line
Metro_MsheirebRedAndGreenPlatformNorthBound,Metro_MsheirebConcourse,300,2.0,Pedestrian Path
Metro_MsheirebGoldPlatformWestBound,Metro_MsheirebRedAndGreenPlatformSouthBound,150,2.0,Pedestrian Path
Metro_MsheirebGoldPlatformEastBound,Metro_SouqWaqif,203,2.0,Golden Line
Metro_AlWaabQLM,Metro_AlSudan,203,3.0,Golden Line
Metro_AlSudan,Metro_Joaan,203,3.0,Golden Line
Metro_AlBiddaConcourse,Metro_AlBiddaRedAndGreenPlatformSouthBound,225,2.0,Pedestrian Path
Metro_AlBiddaRedAndGreenPlatformNorthBound,Metro_AlBiddaConcourse,225,2.0,Pedestrian Path
